[2024/04/20 17:09:40] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:09:40] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:09:40] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  60/100] lr: 0.00200, loss: 0.00187, EQ: 0.00187, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42639.90, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  70/100] lr: 0.00200, loss: 0.00172, EQ: 0.00172, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42871.71, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  80/100] lr: 0.00200, loss: 0.00156, EQ: 0.00156, batch_cost: 0.00074s, reader_cost: 0.00004s, ips: 42960.67, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  90/100] lr: 0.00200, loss: 0.00144, EQ: 0.00144, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42933.90, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter 100/100] lr: 0.00200, loss: 0.00132, EQ: 0.00132, batch_cost: 0.00074s, reader_cost: 0.00004s, ips: 43107.57, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  10/100] lr: 0.00200, loss: 0.00027, EQ: 0.00027, batch_cost: 0.00080s, reader_cost: 0.00004s, ips: 40018.25, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  20/100] lr: 0.00200, loss: 0.00025, EQ: 0.00025, batch_cost: 0.00079s, reader_cost: 0.00004s, ips: 40447.84, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  30/100] lr: 0.00200, loss: 0.00024, EQ: 0.00024, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 41942.98, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  40/100] lr: 0.00200, loss: 0.00027, EQ: 0.00027, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41486.76, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  50/100] lr: 0.00200, loss: 0.00035, EQ: 0.00035, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 41969.59, eta: 0:00:00
